Number of Items,Average Time (nanoseconds)
10,346900
20,8790
30,10195
40,22775
50,24635
60,23030
70,27600
80,33495
90,44680
100,48025
110,54590
120,65790
130,42470
140,58080
150,39380
160,56240
170,43500
180,49840
190,51185
200,50405
210,61805
220,102785
230,78605
240,78000
250,118385
260,126545
270,119005
280,161745
290,134020
300,155735
310,181570
320,133500
330,237880
340,205315
350,156320
360,218455
370,171845
380,186095
390,221035
400,234325
410,196295
420,268195
430,343380
440,241700
450,242130
460,192240
470,239310
480,189500
490,163660
500,245915
510,205490
520,207280
530,257505
540,293260
550,330285
560,329190
570,317135
580,333690
590,485620
600,400115
610,357110
620,293930
630,386330
640,421495
650,339350
660,326555
670,336465
680,351550
690,316130
700,441980
710,313000
720,349855
730,260860
740,278220
750,265310
760,289570
770,301555
780,272895
790,326900
800,229090
810,335645
820,354450
830,229995
840,285295
850,212795
860,251720
870,257110
880,223905
890,299205
900,319650
910,287755
920,292075
930,240015
940,315915
950,280155
960,321885
970,489110
980,428845
990,372870
1000,411560
1010,387785
1020,424585
1030,365820
1040,367425
1050,375000
1060,392895
1070,459020
1080,436475
1090,240965
1100,361560
1110,427810
1120,377740
1130,433485
1140,378065
1150,295110
1160,266960
1170,289735
1180,255705
1190,257200
1200,291875
1210,298615
1220,322405
1230,276295
1240,353890
1250,278765
1260,333610
1270,312355
1280,315060
1290,319100
1300,313405
1310,325830
1320,330045
1330,354315
1340,357430
1350,345225
1360,334555
1370,374875
1380,323975
1390,406195
1400,332430
1410,352065
1420,375350
1430,393140
1440,380320
1450,327665
1460,441145
1470,338720
1480,480325
1490,372170
1500,457470
1510,474650
1520,391080
1530,408305
1540,384340
1550,405310
1560,438640
1570,373325
1580,437990
1590,396235
1600,427880
1610,415815
1620,447905
1630,418095
1640,405140
1650,483110
1660,441570
1670,446185
1680,471700
1690,406215
1700,471070
1710,487925
1720,420900
1730,689465
1740,573280
1750,534765
1760,604985
1770,536700
1780,719460
1790,555980
1800,516615
1810,477775
1820,514355
1830,469965
1840,476445
1850,526055
1860,562155
1870,477235
1880,495745
1890,540685
1900,548575
1910,523460
1920,479280
1930,522080
1940,558280
1950,580855
1960,580775
1970,528545
1980,574550
1990,591600
2000,602145
2010,596350
2020,546575
2030,641565
2040,657700
2050,547010
2060,577460
2070,462600
2080,468310
2090,538555
2100,517475
2110,515120
2120,501040
2130,539185
2140,516555
2150,528840
2160,534130
2170,533090
2180,577955
2190,557370
2200,712295
2210,761775
2220,885980
2230,670245
2240,577175
2250,511460
2260,635695
2270,596050
2280,611300
2290,601815
2300,725695
2310,915110
2320,906985
2330,865780
2340,692845
2350,625515
2360,698480
2370,619510
2380,605650
2390,750775
2400,1155355
2410,669870
2420,617385
2430,640160
2440,652070
2450,635005
2460,642520
2470,647665
2480,656660
2490,653830
2500,675745
2510,652860
2520,660280
2530,704110
2540,676275
2550,652465
2560,859880
2570,1266215
2580,634235
2590,646880
2600,613800
2610,674155
2620,698990
2630,641405
2640,679595
2650,745630
2660,703220
2670,714010
2680,719330
2690,724170
2700,713130
2710,727570
2720,719270
2730,698275
2740,740395
2750,755700
2760,730605
2770,761370
2780,738520
2790,719255
