Number of Nodes,Average Time (nanoseconds)
10,138925
20,63730
30,90295
40,82865
50,80110
60,106455
70,79620
80,66385
90,86320
100,105290
110,152190
120,178775
130,264200
140,143325
150,79615
160,71400
170,183195
180,153730
190,128500
200,126755
210,281330
220,364285
230,187955
240,200880
250,203915
260,214170
270,235940
280,207955
290,226325
300,225525
310,263200
320,246290
330,235425
340,213095
350,221070
360,260870
370,268155
380,330790
390,336490
400,329390
410,336035
420,353205
430,354005
440,383395
450,414220
460,476025
470,436610
480,468710
490,422515
500,432000
510,451545
520,505860
530,578535
540,486710
550,518565
560,547960
570,624260
580,645425
590,628475
600,609200
610,741505
620,631360
630,708625
640,706780
650,746925
660,711125
670,764360
680,792230
690,790845
700,843615
710,846640
720,873865
730,848870
740,913405
750,946530
760,956985
770,1277575
780,1076975
790,1027600
800,1003430
810,1089625
820,1134840
830,1145850
840,1116575
850,1231460
860,1193020
870,1301895
880,1490450
890,1281525
900,1422950
910,1370890
920,1699490
930,1462195
940,1640770
950,1382875
960,1457535
970,1434170
980,1508180
990,1588510
1000,1626965
1010,1646040
1020,1628240
1030,1590185
1040,1666080
1050,1658015
1060,1717455
1070,1746110
1080,1760775
1090,1921585
1100,1759920
1110,1904905
1120,1996265
1130,1960475
1140,1940320
1150,2112040
1160,1989545
1170,1973555
1180,2008715
1190,2129190
1200,2132230
1210,2149705
1220,2204000
1230,2787530
1240,2275820
1250,2401795
1260,2444475
1270,2426490
1280,2482360
1290,2512615
1300,2569960
1310,2476855
1320,2775330
1330,2670265
1340,2774900
1350,2650915
1360,2877300
1370,2702545
1380,2801810
1390,2808690
1400,3020290
1410,2818350
1420,2885155
1430,2993425
1440,3119800
1450,2985790
1460,3137500
1470,3079985
1480,3066020
1490,3189215
1500,3328670
