Number of Nodes,Average Time (nanoseconds)
10,39615
20,162830
30,165725
40,308420
50,317960
60,393980
70,513295
80,747935
90,957545
100,1276305
110,1744375
120,2123305
130,2797550
140,3237505
150,4248530
160,8297870
170,7110510
180,7534235
190,9385215
200,9000750
210,9802065
220,11414365
230,16160515
240,14721005
250,16445815
260,18097450
270,20691825
280,22189765
290,24585835
300,27922705
310,35027540
320,37382620
330,37486220
340,40320330
350,41870520
360,52527525
370,56688885
380,60689595
390,58823135
400,65049005
410,88693805
420,147881815
430,182926295
440,206741695
450,193500425
460,90820125
470,98270735
480,106443460
490,111616910
500,133536275
