Number of Items,Average Time (nanoseconds)
10,70820
20,108465
30,74185
40,54525
50,63090
60,83370
70,101955
80,104485
90,205900
100,209480
110,114320
120,117935
130,64095
140,64440
150,61700
160,73615
170,62580
180,67630
190,68320
200,75245
210,198905
220,116950
230,173365
240,159500
250,75010
260,69335
270,63140
280,65260
290,90965
300,79580
310,123525
320,139255
330,128770
340,140260
350,125295
360,193430
370,135590
380,207295
390,94775
400,89275
410,196430
420,99725
430,105685
440,151225
450,271305
460,760540
470,324725
480,184405
490,336980
500,293930
510,174085
520,266160
530,198425
540,202280
550,282725
560,207810
570,206525
580,271095
590,238785
600,222590
610,318890
620,315405
630,256725
640,297270
650,295425
660,397865
670,257550
680,301750
690,258375
700,268795
710,200340
720,175890
730,193865
740,197890
750,244625
760,182955
770,353365
780,223395
790,247375
800,206680
810,238340
820,296550
830,223805
840,278505
850,283440
860,393125
870,329330
880,371410
890,308615
900,539540
910,365110
920,357130
930,431155
940,392680
950,453150
960,334625
970,419185
980,318660
990,434065
1000,252310
1010,465980
1020,332530
1030,374030
1040,252340
1050,560850
1060,258625
1070,409625
1080,298010
1090,364240
1100,253575
1110,361045
1120,295535
1130,346950
1140,280935
1150,317215
1160,293375
1170,320985
1180,378300
1190,305175
1200,347375
1210,320535
1220,414275
1230,464380
1240,358965
1250,446355
1260,328270
1270,474865
1280,358045
1290,401015
1300,374150
1310,346750
1320,401845
1330,336415
1340,443910
1350,347795
1360,541180
1370,587470
1380,501875
1390,480360
1400,424465
1410,353600
1420,491865
1430,397405
1440,501420
1450,420325
1460,354900
1470,366030
1480,428590
1490,408160
1500,391410
1510,396955
1520,358455
1530,424020
1540,377675
1550,381785
1560,420350
1570,368975
1580,427705
1590,463440
1600,404825
1610,384655
1620,414380
1630,473225
1640,387420
1650,422720
1660,397655
1670,438695
1680,478535
1690,589795
1700,622725
1710,639090
1720,775210
1730,583905
1740,491100
1750,432130
1760,462155
1770,471785
1780,434930
1790,516420
1800,464875
1810,521485
1820,524155
1830,565285
1840,468065
1850,499715
1860,553570
1870,552325
1880,518980
1890,500810
1900,489720
1910,566545
1920,563915
1930,481665
1940,557460
1950,559960
1960,4528810
1970,566275
1980,584530
1990,530240
2000,462260
2010,586210
2020,648550
2030,675650
2040,702185
2050,655185
2060,622995
2070,682475
2080,608990
2090,703540
2100,661525
2110,685525
2120,688270
2130,552045
2140,505325
2150,544230
2160,537610
2170,579770
2180,499160
2190,523540
2200,575350
2210,535210
2220,647020
2230,567550
2240,516845
2250,569145
2260,528090
2270,568975
2280,563100
2290,586340
2300,747630
2310,838840
2320,671090
2330,800995
2340,769875
2350,808580
2360,707455
2370,751435
2380,683425
2390,805130
2400,758590
2410,709790
2420,736820
2430,729055
2440,727115
2450,757080
2460,714140
2470,749785
2480,818285
2490,787685
2500,809080
2510,941915
2520,819080
2530,704940
2540,694935
2550,702555
2560,638500
2570,697525
2580,653935
2590,730155
2600,705800
2610,710475
2620,740720
2630,682575
2640,738520
2650,688580
2660,781995
2670,723390
2680,728940
2690,756005
2700,764770
2710,801395
2720,940670
2730,881455
2740,827770
2750,972960
2760,828915
2770,855140
2780,903290
2790,779830
2800,838990
2810,827680
2820,796425
2830,764735
2840,844725
2850,792285
2860,914555
2870,837430
2880,842350
2890,831710
2900,868310
2910,825905
2920,798115
2930,816700
2940,970215
2950,817215
2960,982070
2970,935615
2980,922590
2990,834220
3000,916060
3010,846975
3020,774065
3030,822935
3040,945765
3050,809720
3060,889185
3070,855465
3080,873010
3090,833665
3100,899715
3110,915860
3120,897590
3130,870355
3140,954530
3150,949630
3160,815350
3170,851895
3180,880810
3190,891735
3200,938605
3210,906455
3220,818475
3230,909090
3240,931670
3250,918490
3260,884035
3270,1030785
3280,862635
3290,855750
3300,928735
3310,950920
3320,898450
3330,929115
3340,953375
3350,967700
3360,916555
3370,949060
3380,892395
3390,1051100
3400,881825
3410,896175
3420,1072000
3430,915085
3440,947515
3450,897290
3460,1033875
3470,937155
3480,894885
3490,1085580
3500,938080
3510,881995
3520,1123735
3530,950315
3540,1008125
3550,995405
3560,974250
3570,1020760
3580,966140
3590,907330
3600,1081460
3610,1275960
3620,1208270
3630,967690
3640,945000
3650,924430
3660,1015590
3670,986625
3680,972740
3690,1104170
3700,1078430
3710,958910
3720,960500
3730,1028640
3740,1113600
3750,1101995
3760,1023935
3770,1068425
3780,1063660
3790,1075465
3800,1062445
3810,1036300
3820,1014800
3830,1481560
3840,990455
3850,1217215
3860,1049645
3870,1114775
3880,1021645
3890,1175025
3900,1008610
3910,1155810
3920,996955
3930,1008365
3940,1221385
3950,1120360
3960,1161135
3970,1130835
3980,1117125
3990,1204530
4000,1039510
4010,1201540
4020,1078510
4030,3990280
4040,1652140
4050,1186765
4060,1050905
4070,1024655
4080,1225495
4090,1158980
4100,1200745
4110,1192950
4120,1126345
4130,1127475
4140,1157545
4150,1195620
4160,1168645
4170,1158540
4180,1091920
4190,1143565
4200,1144820
4210,1234235
4220,1082180
4230,1184350
4240,1105760
4250,1157260
4260,1437815
4270,1066170
4280,1142230
4290,1367605
4300,1289495
4310,1202295
4320,1120460
4330,1110915
4340,1207645
4350,1115045
4360,1275855
4370,1762580
4380,1483495
4390,1257900
4400,1572795
4410,1356110
4420,1422305
4430,1454575
4440,1495595
4450,1222635
4460,1125450
4470,1216905
4480,1119655
4490,1253195
4500,4452785
4510,1127835
4520,1234770
4530,1133015
4540,1244875
4550,1148040
4560,1140160
4570,1128080
4580,1159185
4590,1274765
4600,1194520
4610,1146740
4620,1383025
4630,1297365
4640,1195790
4650,1309025
4660,1262695
4670,1279735
4680,1408515
4690,1370030
4700,1442590
4710,1272160
4720,1471780
4730,1260960
4740,1245870
4750,1375440
4760,1227785
4770,1330750
4780,1207800
4790,1349600
4800,1398765
4810,1392120
4820,1366365
4830,1295480
4840,1331235
4850,1445995
4860,1318020
4870,1326390
4880,1218610
4890,1410525
4900,1350790
4910,1339370
4920,1310515
4930,1306395
4940,1342995
4950,1311000
4960,1379000
4970,1328330
4980,1459290
4990,1264875
5000,1360175
5010,1317130
5020,1364845
5030,1600290
5040,1243390
5050,1258265
5060,1359010
5070,1265325
5080,1332740
5090,1211555
5100,1435005
5110,1315690
5120,1415315
5130,1470070
5140,1557590
5150,1345905
5160,1510490
5170,1334865
5180,1521110
5190,1259130
5200,1560960
5210,4409250
5220,1394650
5230,1337815
5240,1438760
5250,1297425
5260,1471770
5270,1391225
5280,1467765
5290,1382180
5300,1470140
5310,1390065
5320,1442255
5330,1601255
5340,1541670
5350,1485905
5360,1367035
5370,1612665
5380,1475765
5390,1511620
5400,1495695
5410,1553125
5420,1495305
5430,1446135
5440,1476820
5450,1482640
5460,1423240
5470,1465715
5480,1449255
5490,1456955
5500,1562040
5510,1534855
5520,1489690
5530,1614895
5540,1577930
5550,1623560
5560,1656440
5570,1472530
5580,1578330
5590,1526170
5600,1550220
5610,1480995
5620,1519350
5630,1572405
5640,1622435
5650,1518955
5660,1525445
5670,1561840
5680,1589805
5690,1568535
5700,1568245
5710,1780535
5720,1606730
5730,1497845
5740,1631990
5750,1545135
5760,1707785
5770,1429805
5780,1722445
5790,1485305
5800,1477690
5810,1526275
5820,1770130
5830,1526310
5840,1600800
5850,1657005
5860,4019330
5870,1472875
5880,1762220
5890,2054610
5900,1601495
5910,1607315
5920,1637670
5930,1624575
5940,1802180
5950,1418030
5960,1789050
5970,1614035
5980,1565860
5990,1715285
6000,1653520
6010,1592890
6020,1662870
6030,1636250
6040,1547540
6050,1746440
6060,1587390
6070,1745260
6080,1897625
6090,2984150
6100,2029625
6110,2239270
6120,1531555
6130,1711410
6140,1649745
6150,1652585
6160,2533565
6170,2270615
6180,2245000
6190,1903740
6200,1847970
6210,1738060
6220,1761165
6230,1728545
6240,1618425
6250,1601195
6260,1823000
6270,1577620
6280,1566680
6290,1770050
6300,1723735
6310,1694770
6320,1686715
6330,1764245
6340,1746220
6350,1668460
6360,1847440
6370,1677795
6380,1725100
6390,1917250
6400,1685930
6410,1751655
6420,1738180
6430,1661910
6440,1718155
6450,1750640
6460,1749585
6470,1883090
6480,1816375
6490,5319860
6500,1698460
6510,1701175
6520,1860320
6530,1708360
6540,1722730
6550,1895375
6560,1726460
6570,1904565
6580,1882870
6590,1875470
6600,1759165
6610,2010035
6620,2116535
6630,1752690
6640,1928655
6650,1746230
6660,1874050
6670,1753735
6680,1787335
6690,2114070
6700,1962110
6710,1872345
6720,1954450
6730,1924295
6740,1769990
6750,1846355
6760,1767750
6770,1955595
6780,1775265
6790,1840960
6800,1985785
6810,1859935
6820,1826990
6830,1939435
6840,1711340
6850,1927285
6860,2583960
6870,2111210
6880,1806050
6890,2499760
6900,2539625
6910,1978610
6920,1856140
6930,1884305
6940,1833955
6950,2600645
6960,2304885
6970,1807970
6980,2017325
6990,1854960
7000,1897880
