Number of Nodes,Average Time (nanoseconds)
10,106730
20,56980
30,77410
40,117670
50,144790
60,162590
70,156510
80,206060
90,283520
100,385610
110,311820
120,392360
130,507160
140,655810
150,587710
160,640920
170,584800
180,606620
190,667260
200,761290
210,845720
220,948970
230,1070060
240,958190
250,1211570
260,1224060
270,1334600
280,1439770
290,1659080
300,1777350
310,1945200
320,2177430
330,2138760
340,1897580
350,2046320
360,2269870
370,2422850
380,2669400
390,2871680
400,3043290
410,3264610
420,3384010
430,3574660
440,3918730
450,4007510
460,4319660
470,3803580
480,3848070
490,4025070
500,4330060
510,4630090
520,4754130
530,4980850
540,5153950
550,5650810
560,5781220
570,6143740
580,6667330
590,6447110
600,6862250
610,7283580
620,7540900
630,7604350
640,7907620
650,8142430
660,8616600
670,7409080
680,7552680
690,8240090
700,8598280
710,8717050
720,9399120
730,9613050
740,9933860
750,9978220
760,10480810
770,10978620
780,12144230
790,12741460
800,11648710
810,15697460
820,12856120
830,13556150
840,15183250
850,13386120
860,14477880
870,14647380
880,15512440
890,16440100
900,16341390
910,16977350
920,16636610
930,17191600
940,15007980
950,14965770
960,15514180
970,16658410
980,17153770
990,16325900
1000,17425810
1010,17943130
1020,18719030
1030,18828810
1040,18976410
1050,19558600
1060,20214370
1070,20934700
1080,21553310
1090,21991640
1100,32266340
1110,37247630
1120,39937870
1130,36596270
1140,44666960
1150,39087290
1160,43553270
1170,42524650
1180,43791280
1190,49308400
1200,51144070
1210,43625200
1220,58341490
1230,47361410
1240,47922210
1250,60776220
1260,51812540
1270,56475030
1280,53556030
1290,55154360
1300,58335220
1310,57645990
1320,66988340
1330,48432750
1340,50731990
1350,52007180
1360,62104070
1370,59024200
1380,52926080
1390,56907430
1400,54412070
1410,58844360
1420,62427040
1430,61668340
1440,63328690
1450,61348640
1460,68648180
1470,69553480
1480,66578530
1490,64999080
1500,69556990
