Input Size,Average Time (nanoseconds)
10,5210
20,8390
30,3700
40,6225
50,6180
60,10775
70,9075
80,14870
90,17125
100,15440
110,25140
120,21350
130,32185
140,41630
150,37150
160,31320
170,34790
180,34435
190,36200
200,34850
210,21860
220,21620
230,25355
240,24870
250,35225
260,46675
270,57945
280,31775
290,50300
300,49150
310,49070
320,36125
330,35790
340,33535
350,47830
360,71695
370,59690
380,53330
390,76410
400,95135
410,44535
420,44395
430,41785
440,171100
450,69860
460,68440
470,59260
480,48385
490,49275
500,50580
510,72720
520,223200
530,71530
540,52640
550,49360
560,45410
570,43950
580,51325
590,46300
600,49380
610,57295
620,67510
630,56035
640,50340
650,55815
660,56585
670,57520
680,59085
690,55670
700,61035
710,99050
720,58175
730,56625
740,58925
750,81265
760,85930
770,80915
780,105960
790,106115
800,85810
810,86560
820,108890
830,89715
840,91450
850,154880
860,90710
870,93325
880,98665
890,103205
900,165270
910,106155
920,79555
930,74345
940,74705
950,92765
960,75940
970,106880
980,120570
990,94005
1000,90845
1010,84970
1020,85400
1030,84845
1040,105690
1050,99595
1060,103575
1070,110295
1080,91890
1090,95165
1100,117330
1110,97535
1120,112065
1130,94745
1140,96990
1150,101965
1160,104210
1170,127040
1180,148360
1190,133790
1200,134095
1210,164915
1220,150060
1230,138600
1240,145695
1250,149740
1260,159120
1270,154750
1280,149295
1290,160035
1300,206135
1310,169895
1320,190745
1330,235875
1340,215885
1350,181725
1360,155090
1370,237140
1380,168990
1390,158260
1400,195795
1410,175220
1420,184690
1430,164830
1440,280925
1450,171660
1460,177130
1470,194995
1480,197435
1490,180355
1500,196025
1510,204110
1520,172880
1530,183650
1540,178305
1550,240900
1560,189275
1570,183065
1580,227485
1590,181505
1600,197640
1610,227715
1620,208215
1630,244195
1640,236755
1650,150575
1660,159985
1670,149340
1680,162740
1690,155955
1700,153635
1710,140795
1720,144305
1730,185425
1740,220610
1750,163295
1760,163375
1770,171235
1780,157385
1790,160025
1800,370790
1810,158840
1820,153100
1830,234700
1840,166090
1850,197010
1860,212190
1870,194455
1880,182130
1890,260195
1900,272090
1910,646650
1920,239800
1930,422120
1940,281380
1950,392120
1960,261915
1970,271730
1980,184355
1990,299000
2000,322025
2010,428370
2020,266645
2030,327690
2040,272415
2050,374305
2060,191700
2070,402750
2080,264125
2090,192675
2100,211175
2110,204935
2120,268865
2130,224285
2140,191090
2150,186035
2160,268745
2170,188270
2180,192665
2190,280955
2200,204965
2210,191300
2220,227585
2230,195520
2240,210050
2250,256015
2260,237470
2270,214125
2280,2215025
2290,325435
2300,913430
2310,223900
2320,222730
2330,201000
2340,230640
2350,214190
2360,211480
2370,209320
2380,236220
2390,216740
2400,218985
2410,256060
2420,219840
2430,259480
2440,250380
2450,215115
2460,271570
2470,224970
2480,225060
2490,272150
2500,229565
2510,359495
2520,270205
2530,228255
2540,274310
2550,234130
2560,272850
2570,261995
2580,235735
2590,318705
2600,241165
2610,277515
2620,305490
2630,254475
2640,258145
2650,255090
2660,241390
2670,274925
2680,272705
2690,275405
2700,256750
2710,256785
2720,265175
2730,284325
2740,255735
2750,386880
2760,248570
2770,345760
2780,255330
2790,286220
2800,279290
2810,250510
2820,303415
2830,278175
2840,299905
2850,268105
2860,332605
2870,274750
2880,425280
2890,287725
2900,338185
2910,270565
2920,307765
2930,318945
2940,351905
2950,280885
2960,311675
2970,327670
2980,308830
2990,313500
3000,332935
3010,312575
3020,331340
3030,302850
3040,320735
3050,326325
3060,340125
3070,294425
3080,391165
3090,285700
3100,410430
3110,307620
3120,315525
3130,298655
3140,399145
3150,300290
3160,556240
3170,391080
3180,299165
3190,411195
3200,332015
3210,341360
3220,298840
3230,356730
3240,320595
3250,397645
3260,335415
3270,347955
3280,329425
3290,353735
3300,338990
3310,387455
3320,350205
3330,353925
3340,362185
3350,352045
3360,334180
3370,356285
3380,331605
3390,357440
3400,409130
3410,362630
3420,317700
3430,360125
3440,310300
3450,458150
3460,373980
3470,411675
3480,357165
3490,342010
3500,420610
3510,333135
3520,372510
3530,342260
3540,375555
3550,369820
3560,412035
3570,367785
3580,389850
3590,356675
3600,370845
3610,357745
3620,433100
3630,369490
3640,377060
3650,459965
3660,359425
3670,405240
3680,356025
3690,418630
3700,372675
3710,441680
3720,435940
3730,358340
3740,452750
3750,366835
3760,410315
3770,436615
3780,388280
3790,429730
3800,387925
3810,415290
3820,434715
3830,396195
3840,388875
3850,434285
3860,395450
3870,382740
3880,488435
3890,387105
3900,375460
3910,441950
3920,381115
3930,453075
3940,443440
3950,389765
3960,472475
3970,551390
3980,383365
3990,448110
4000,385165
4010,467145
4020,490680
4030,425870
4040,443980
4050,452490
4060,430410
4070,418130
4080,438625
4090,439120
4100,512015
4110,430655
4120,447210
4130,438430
4140,436055
4150,467405
4160,410870
4170,442640
4180,489845
4190,408495
4200,464215
4210,497295
4220,416185
4230,484170
4240,516795
4250,486645
4260,440380
4270,506005
4280,450965
4290,475795
4300,460880
4310,559870
4320,449790
4330,455815
4340,423205
4350,494115
4360,519720
4370,426525
4380,455325
4390,456465
4400,411125
4410,512255
4420,500495
4430,423280
4440,498695
4450,515260
4460,454125
4470,472920
4480,540130
4490,502410
4500,491625
4510,558260
4520,490270
4530,465360
4540,495110
4550,491230
4560,470135
4570,479345
4580,525245
4590,457030
4600,511800
4610,519490
4620,555830
4630,459110
4640,522410
4650,516860
4660,511860
4670,460700
4680,3511755
4690,859600
4700,452510
4710,461020
4720,450470
4730,445190
4740,451400
4750,467085
4760,457415
4770,513285
4780,549745
4790,487060
4800,455115
4810,521865
4820,514725
4830,488780
4840,489605
4850,517395
4860,502345
4870,616820
4880,513190
4890,501390
4900,511595
4910,526480
4920,555320
4930,503760
4940,504250
4950,552585
4960,566545
4970,549425
4980,514430
4990,513675
5000,561065
5010,545665
5020,502920
5030,517420
5040,661560
5050,630865
5060,597465
5070,615125
5080,523155
5090,546985
5100,531110
5110,511175
5120,545730
5130,551925
5140,559350
5150,566480
5160,571945
5170,496270
5180,537510
5190,562505
5200,564455
5210,616420
5220,527145
5230,579430
5240,546125
5250,596170
5260,558625
5270,527525
5280,586905
5290,576335
5300,566485
5310,548870
5320,548515
5330,547715
5340,616180
5350,589190
5360,575815
5370,664405
5380,573190
5390,605605
5400,550645
5410,605955
5420,628945
5430,552510
5440,602250
5450,627040
5460,578725
5470,590460
5480,595205
5490,618535
5500,777385
5510,1275020
5520,952910
5530,801305
5540,696285
5550,1740280
5560,771495
5570,1444190
5580,1569055
5590,1175760
5600,644760
5610,726930
5620,717215
5630,667020
5640,694655
5650,700535
5660,640700
5670,882140
5680,741430
5690,883560
5700,973365
5710,899290
5720,780870
5730,805265
5740,685450
5750,726995
5760,622650
5770,665755
5780,630725
5790,622315
5800,943625
5810,845365
5820,1154195
5830,847970
5840,689550
5850,681825
5860,631325
5870,617570
5880,611585
5890,683120
5900,1009990
5910,811820
5920,819725
5930,766590
5940,711575
5950,700550
5960,700325
5970,718935
5980,691125
5990,686780
6000,728785
6010,659620
6020,680700
6030,761480
6040,724180
6050,796280
6060,798015
6070,781260
6080,753670
6090,695685
6100,755695
6110,691175
6120,763960
6130,764675
6140,749770
6150,703290
6160,661580
6170,686375
6180,670155
6190,643585
6200,608835
6210,612805
6220,626000
6230,654615
6240,709255
6250,625520
6260,682525
6270,649480
6280,697910
6290,689330
6300,655685
6310,679390
6320,677280
6330,726325
6340,911305
6350,770575
6360,819090
6370,933560
6380,1460030
6390,1721685
6400,1008925
6410,804875
6420,780235
6430,893185
6440,817165
6450,838040
6460,677270
6470,639955
6480,675550
6490,718305
6500,707435
6510,764905
6520,819805
6530,726260
6540,748200
6550,716620
6560,695070
6570,723875
6580,730390
6590,710775
6600,715015
6610,759590
6620,666465
6630,718760
6640,727680
6650,716070
6660,703250
6670,728670
6680,824205
6690,742135
6700,729225
6710,731280
6720,714165
6730,760640
6740,749610
6750,821675
6760,749200
6770,865590
6780,728675
6790,715055
6800,728865
6810,751000
6820,753065
6830,707260
6840,771405
6850,741020
6860,807200
6870,772985
6880,809555
6890,722740
6900,784505
6910,712530
6920,745060
6930,710790
6940,805250
6950,1222770
6960,1053025
6970,946775
6980,837580
6990,733350
7000,777095
7010,697650
7020,691145
7030,715495
7040,741985
7050,760440
7060,741795
7070,809545
7080,770855
7090,735675
7100,794855
7110,761645
7120,734870
7130,852990
7140,751975
7150,777910
7160,752015
7170,764185
7180,756750
7190,777725
7200,804985
7210,771890
7220,770075
7230,832855
7240,793250
7250,866690
7260,816150
7270,759240
7280,774900
7290,767770
7300,786175
7310,798165
7320,790050
7330,795345
7340,785430
7350,823130
7360,742920
7370,791975
7380,842335
7390,782960
7400,759810
7410,756530
7420,771055
7430,818135
7440,783870
7450,831530
7460,802050
7470,814670
7480,829815
7490,880280
7500,815560
7510,833985
7520,854040
7530,928035
7540,806690
7550,810885
7560,883865
7570,883925
7580,807905
7590,813530
7600,819780
7610,822590
7620,796795
7630,873245
7640,840580
7650,850060
7660,843230
7670,838995
7680,918705
7690,844185
7700,816485
7710,824415
7720,4094500
7730,776770
7740,802910
7750,778645
7760,839655
7770,844505
7780,816250
7790,870230
7800,831150
7810,818850
7820,870205
7830,850430
7840,931395
7850,869680
7860,801070
7870,841495
7880,850575
7890,867965
7900,851905
7910,894005
7920,868935
7930,940290
7940,873485
7950,864045
7960,870520
7970,886410
7980,872420
7990,857520
8000,897060
8010,856915
8020,846820
8030,833125
8040,904315
8050,885160
8060,960560
8070,830750
8080,825425
8090,864780
8100,920550
8110,913575
8120,849310
8130,870110
8140,921490
8150,910455
8160,877840
8170,909910
8180,828510
8190,884110
8200,927010
8210,995320
8220,859975
8230,912900
8240,1025635
8250,1163825
8260,1012650
8270,868875
8280,1208165
8290,1255285
8300,1057925
8310,1187875
8320,1276875
8330,1333385
8340,1204550
8350,997860
8360,1058815
8370,922880
8380,859870
8390,813715
8400,817820
8410,921490
8420,902285
8430,975620
8440,887150
8450,896730
8460,911180
8470,1016785
8480,924310
8490,933515
8500,962460
8510,989345
8520,952365
8530,1077450
8540,989480
8550,1014180
8560,898970
8570,890755
8580,902400
8590,949180
8600,1065040
8610,916760
8620,940235
