Number of Nodes,Average Time (nanoseconds)
10,104750
20,53075
30,68175
40,72595
50,111585
60,150810
70,83430
80,323630
90,134095
100,172485
110,165600
120,197145
130,396335
140,222250
150,221360
160,139715
170,129315
180,163650
190,152280
200,190535
210,218645
220,181575
230,270580
240,278075
250,301815
260,254670
270,292385
280,316595
290,308915
300,324550
310,346030
320,458355
330,405950
340,430460
350,392085
360,536285
370,588795
380,543030
390,644670
400,766890
410,569890
420,559055
430,596355
440,605015
450,641215
460,602880
470,694820
480,717185
490,832335
500,1024405
